,timestamp,age,gender,year_of_study,faculty,accommodation,commute_time,type_of_study,working,hours_work,current_mode_of_learning,internet,availability_quiet_space,ratings_in_person_class,in_person_effectiveness_lecture,in_person_effectiveness_tutorial,in_person_effectiveness_project,in_person_effectiveness_lab,in_person_effectiveness_presentation,in_person_effectiveness_exam,in_person_academic_impacts,in_person_mental_impacts,ratings_online_class,online_learning_tools_preferred,online_effectiveness_lecture,online_effectiveness_tutorial,online_effectiveness_project,online_effectiveness_lab,online_effectiveness_presentation,online_effectiveness_exam,online_academic_impacts,online_mental_impacts,preferred_learning_mode,additional_thoughts,Driving,University bus,Grab/MyCar/Taxi,Public transport,Walking,Carpool,Direct interaction with lecturers,Easier to ask questions and get immediate feedback,Better engagement and focus,Opportunities for face-to-face collaboration with peers,"Access to university facilities (labs, library, etc.)",Clearer separation between study and personal life,Better for practical/lab-based subjects,Stronger sense of community with classmates,Fewer technical issues,Commuting time and costs,Fixed class schedules (less flexibility),Less comfortable learning environment (compared to home),Pace of learning may not suit everyone,Large class sizes can be intimidating,Health concerns (especially post-pandemic),Limited access to recorded lectures,Flexibility in schedule,Learn at your own pace,Comfort of learning from home/anywhere,Reduced commuting time and costs,Access to recorded lectures and materials,Development of digital literacy skills,"Easier to manage studies alongside other commitments (e.g., part-time work)",More accessible for students with disabilities or health issues,Variety of online learning tools and resources,"Technical issues (internet, software, hardware)",Lack of face-to-face interaction with lecturers and peers,Difficulty maintaining focus and motivation,Sense of isolation,Challenges with practical/lab-based subjects,Blurred lines between study and personal life,Concerns about assessment integrity,Digital fatigue/eye strain,Requires strong self-discipline,Prefer_in_person_Lecture,Prefer_in_person_Tutorials,Prefer_in_person_Project,Prefer_in_person_Lab,Prefer_in_person_Presentations,Prefer_in_person_Exam,Not_prefer_in_person,Prefer_online_Lecture,Prefer_online_Tutorials,Prefer_online_Project,Prefer_online_Lab,Prefer_online_Presentations,Prefer_online_Exam,Not_prefer_online
25,2025-05-28 13:31:04.405,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",4,4,4,4,4,4,4,3,2,5,Microsoft Teams,3,3,3,3,3,3,4,4,Hybrid / Blended - a mix of online and in-person,,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False
26,2025-05-28 15:35:09.065,25 - 29,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,1 hr+,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",4,4,3,3,3,3,3,4,4,4,Microsoft Teams,4,2,3,2,3,3,3,4,Hybrid / Blended - a mix of online and in-person,,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False
27,2025-05-28 15:49:16.674,20 - 24,Female,4th Year,Arts & Social Sciences,Off-campus,30 min to 1 hr,Full-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",4,3,4,3,4,4,2,4,4,3,Zoom,2,3,3,2,2,2,2,2,Hybrid / Blended - a mix of online and in-person,Nil ,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True
28,2025-05-28 16:08:29.978,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Hostel,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",4,1,4,4,4,4,1,3,2,3,Microsoft Teams,1,4,4,4,4,1,3,2,Hybrid / Blended - a mix of online and in-person,,False,True,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False
29,2025-05-28 18:11:15.480,25 - 29,Female,1st Year,Computer Science & IT,Off-campus,1 hr+,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",4,3,4,4,4,2,3,3,2,4,Microsoft Teams,3,3,3,3,3,3,4,3,Fully Online,Hope there will be more online courses,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,True,True,False
30,2025-05-28 18:52:15.935,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",4,3,3,2,3,1,1,2,2,4,Microsoft Teams,2,3,3,2,4,4,3,4,Hybrid / Blended - a mix of online and in-person,,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False
31,2025-05-28 19:19:06.652,30 - 34,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,Under 15 min,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",4,3,3,3,3,3,2,3,3,5,Microsoft Teams,4,4,4,3,4,4,4,3,Fully Online,No comment,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False
32,2025-05-28 22:24:11.730,25 - 29,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,15 min to 30 min,Full-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",3,3,3,3,3,2,2,3,3,4,Microsoft Teams,3,3,2,3,3,3,3,3,Hybrid / Blended - a mix of online and in-person,"No thoughts, I adapt to what is needed.",True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False
33,2025-05-28 23:30:57.144,30 - 34,Male,1st Year,Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",4,3,3,4,4,3,3,4,4,2,Microsoft Teams,1,1,1,1,2,2,1,2,Fully In-Person,"We can take 5 star course from Coursera or Udemy if preferred online learning. As studying one of the best university in Malaysia, we suppose to have more interaction with lectures and other classmates through offline mode. Thanks.",True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True
34,2025-05-29 08:04:49.515,25 - 29,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,2,"Yes, sometimes",4,3,3,4,3,2,2,3,3,4,Microsoft Teams,3,4,2,2,3,4,3,3,Hybrid / Blended - a mix of online and in-person,"I believe the hybrid mode can be further enhanced to allow both in-person, live-video recording for easier review and access.",True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False
