Activity,MLA Name,Accuracy,Precision,Recall,F1-Score
Project,ExtraTreeClassifier,0.7058823529411765,0.7245989304812834,0.7058823529411765,0.7128574750058126
Project,PassiveAggressiveClassifier,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.7030812324929971
Project,RidgeClassifierCV,0.7058823529411765,0.6900452488687784,0.7058823529411765,0.6954248366013073
Project,LinearDiscriminantAnalysis,0.6470588235294118,0.7483660130718954,0.6470588235294118,0.6621848739495798
Project,BernoulliNB,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
Project,AdaBoostClassifier,0.6470588235294118,0.6022408963585434,0.6470588235294118,0.6165158371040724
Project,BaggingClassifier,0.6470588235294118,0.6022408963585434,0.6470588235294118,0.6165158371040724
Project,LogisticRegressionCV,0.7058823529411765,0.49826989619377166,0.7058823529411765,0.5841784989858012
Project,SVC,0.7058823529411765,0.49826989619377166,0.7058823529411765,0.5841784989858012
Project,QuadraticDiscriminantAnalysis,0.7058823529411765,0.49826989619377166,0.7058823529411765,0.5841784989858012
Project,ExtraTreesClassifier,0.5882352941176471,0.5622171945701356,0.5882352941176471,0.5735947712418301
Project,RandomForestClassifier,0.5882352941176471,0.5622171945701356,0.5882352941176471,0.5735947712418301
Project,GradientBoostingClassifier,0.5294117647058824,0.45378151260504207,0.5294117647058824,0.4886877828054298
Project,GaussianNB,0.29411764705882354,0.08650519031141869,0.29411764705882354,0.1336898395721925
Tutorial,LinearSVC,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
Tutorial,LinearDiscriminantAnalysis,0.8235294117647058,0.8377896613190731,0.8235294117647058,0.8277144850034875
Tutorial,GradientBoostingClassifier,0.8235294117647058,0.8178733031674208,0.8235294117647058,0.8172549019607844
Tutorial,RidgeClassifierCV,0.8235294117647058,0.8588235294117648,0.8235294117647058,0.795518207282913
Tutorial,AdaBoostClassifier,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
Tutorial,RandomForestClassifier,0.7647058823529411,0.7507002801120448,0.7647058823529411,0.744343891402715
Tutorial,KNeighborsClassifier,0.7647058823529411,0.7507002801120448,0.7647058823529411,0.744343891402715
Tutorial,ExtraTreeClassifier,0.7058823529411765,0.6900452488687784,0.7058823529411765,0.6954248366013073
Tutorial,ExtraTreesClassifier,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
Tutorial,BaggingClassifier,0.5882352941176471,0.6593137254901961,0.5882352941176471,0.6063348416289593
Tutorial,BernoulliNB,0.5882352941176471,0.6593137254901961,0.5882352941176471,0.6063348416289593
Tutorial,GaussianNB,0.5882352941176471,0.6593137254901961,0.5882352941176471,0.6063348416289593
Tutorial,LogisticRegressionCV,0.7058823529411765,0.49826989619377166,0.7058823529411765,0.5841784989858012
Tutorial,SVC,0.7058823529411765,0.49826989619377166,0.7058823529411765,0.5841784989858012
Tutorial,DecisionTreeClassifier,0.5294117647058824,0.5781512605042016,0.5294117647058824,0.5472370766488414
Tutorial,PassiveAggressiveClassifier,0.4117647058823529,0.8039215686274509,0.4117647058823529,0.34873949579831937
Tutorial,Perceptron,0.4117647058823529,0.8039215686274509,0.4117647058823529,0.34873949579831937
Tutorial,QuadraticDiscriminantAnalysis,0.29411764705882354,0.08650519031141869,0.29411764705882354,0.1336898395721925
