timestamp,age,gender,year_of_study,faculty,accommodation,commute_time,type_of_study,working,hours_work,current_mode_of_learning,internet,availability_quiet_space,Driving,University bus,Grab/MyCar/Taxi,Public transport,Walking,Carpool
55:42.5,15 - 19,Male,Foundation,Pure & Applied Sciences,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
56:05.8,25 - 29,Female,Postgraduate (Masters/PhD),Arts & Social Sciences,Hostel,30 min to 1 hr,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
56:20.9,15 - 19,Female,1st Year,Health & Medical Sciences,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
56:22.3,15 - 19,Female,Foundation,Life Science,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,4,"Yes, sometimes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
57:32.2,15 - 19,Female,Foundation,Foundation,Hostel,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
57:48.0,20 - 24,Female,3rd Year,Arts & Social Sciences,Hostel,Under 15 min,Full-time student,Yes,Less than 10 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
00:09.1,25 - 29,Female,1st Year,Arts & Social Sciences,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
04:06.1,25 - 29,Female,4th Year,Education,Off-campus,15 min to 30 min,Full-time student,Yes,Less than 10 hours per week,Fully In-Person,3,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
05:58.5,15 - 19,Female,5th year,Health & Medical Sciences,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
08:31.3,20 - 24,Female,4th Year,Islamic Studies,Hostel,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
08:47.8,20 - 24,Male,2nd Year,Engineering,Off-campus,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10:01.5,25 - 29,Male,Postgraduate (Masters/PhD),Arts & Social Sciences,Off-campus,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12:11.9,20 - 24,Female,2nd Year,Engineering,Off-campus,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12:18.5,25 - 29,Female,Postgraduate (Masters/PhD),Arts & Social Sciences,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14:27.9,30 - 34,Female,3rd Year,Arts & Social Sciences,Hostel,15 min to 30 min,Full-time student,No,,Fully In-Person,2,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
14:56.9,25 - 29,Female,Postgraduate (Masters/PhD),Engineering,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,1,"Yes, sometimes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
15:21.9,25 - 29,Female,1st Year,Education,Hostel,15 min to 30 min,Full-time student,Yes,Less than 10 hours per week,Fully In-Person,4,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17:07.5,20 - 24,Female,4th Year,Linguistics,Off-campus,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
18:36.8,20 - 24,Male,2nd Year,Pure & Applied Sciences,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19:27.4,25 - 29,Male,Postgraduate (Masters/PhD),Engineering,Off-campus,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
19:31.8,15 - 19,Female,Foundation,Foundation,Off-campus,15 min to 30 min,Full-time student,No,,Fully In-Person,3,"No, rarely",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
23:00.3,25 - 29,Female,2nd Year,Business & Accountancy,Hostel,15 min to 30 min,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,2,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
